player,singles,doubles,triples,homeruns,strikes
choub001,0,0,0,0,1
soria001,0,0,0,1,3
nomoh001,9,5,1,1,33
lawtm002,18,4,1,1,12
swanr001,1,0,0,0,1
hameb001,23,9,1,7,58
bellj001,111,28,4,13,118
bellj003,1,2,2,1,10
bellj002,87,52,1,50,84
sancr001,108,22,2,3,51
shuep001,0,0,0,0,1
johnl001,152,18,12,10,37
plesd001,1,0,0,0,3
lukem001,38,12,1,12,60
ogeac001,4,0,0,0,1
wellt001,0,0,0,0,4
garrs001,4,1,0,0,2
klesr001,54,25,2,23,75
radmr001,9,4,0,2,26
power001,0,0,0,0,1
jonet004,37,7,2,1,46
jonet002,3,2,1,1,9
jonet003,2,1,0,0,1
jonet001,36,8,1,3,23
river002,5,1,2,6,1
lawlt001,1,0,0,0,2
layat001,0,0,0,0,1
myerg001,52,12,2,9,51
bottr001,0,1,0,0,4
harrg001,0,1,0,0,1
harrg002,3,2,1,0,13
harrg003,1,0,0,0,1
greek001,0,0,0,0,1
montc001,1,1,0,0,0
wynnm001,29,8,2,4,26
kinkm001,4,2,1,2,9
estes001,9,1,0,1,2
patrb001,2,0,0,1,3
sherp001,18,4,0,4,31
vansa001,44,11,2,6,59
walld001,3,1,0,1,8
walld002,1,1,0,0,2
obric001,35,7,1,9,41
tomkb001,4,1,0,0,14
sheea001,15,3,3,4,34
heatm001,26,3,1,1,26
hernr002,28,7,0,3,11
hernr001,1,0,0,0,1
landb001,0,1,0,0,3
counc001,37,9,2,1,18
andel001,1,0,0,0,1
hayec001,110,31,3,11,89
jamec001,16,4,2,2,14
euset001,91,21,1,6,62
pettg001,50,7,5,3,91
kmakj001,10,3,0,1,12
drewj001,7,3,1,5,11
radis001,0,0,0,0,4
cocka001,2,1,0,0,4
speht001,5,5,1,1,7
fortt001,1,0,0,0,2
bailr001,2,1,1,1,4
rasmd001,6,1,0,0,12
shavj002,6,3,0,1,10
coled001,24,7,1,3,21
lancr001,0,0,0,0,3
morrj003,25,4,1,1,25
